Date,work,ds_project,coding,planning,Total
2020-07-06,5.25,0.0,0.0,0.0,5.25
2020-07-07,3.25,0.0,0.0,0.0,3.25
2020-07-08,4.0,0.0,0.0,0.0,4.0
2020-07-09,1.0,0.0,0.0,0.0,1.0
2020-07-10,0.0,0.0,0.0,0.0,0.0
2020-07-11,0.0,0.0,0.0,0.0,0.0
2020-07-12,0.0,0.0,0.0,0.0,0.0
2020-07-13,1.0,0.0,0.0,0.0,1.0
2020-07-14,0.0,0.0,0.0,0.0,0.0
2020-07-15,3.5,0.0,0.0,0.0,3.5
2020-07-16,4.0,0.0,0.0,0.0,4.0
2020-07-17,0.5,0.0,0.0,0.0,0.5
2020-07-18,0.0,0.0,0.0,0.0,0.0
2020-07-19,0.0,0.0,0.0,0.0,0.0
2020-07-20,1.5,0.0,0.0,0.0,1.5
2020-07-21,5.0,0.0,0.0,0.0,5.0
2020-07-22,4.0,0.0,0.0,0.0,4.0
2020-07-23,3.0,0.0,0.0,0.0,3.0
2020-07-24,4.0,0.0,0.0,0.0,4.0
2020-07-25,1.0,0.0,0.0,0.0,1.0
2020-07-26,0.0,0.0,0.0,0.0,0.0
2020-07-27,4.5,0.0,0.0,0.0,4.5
2020-07-28,3.0,0.0,0.0,0.0,3.0
2020-07-29,8.0,0.0,0.0,0.0,8.0
2020-07-30,5.5,0.0,0.0,0.0,5.5
2020-07-31,1.5,0.0,0.0,0.0,1.5
2020-08-01,0.0,0.0,0.0,0.0,0.0
2020-08-02,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-04,4.5,0.0,0.0,0.0,4.5
2020-08-05,3.8,0.0,0.0,0.0,3.8
2020-08-06,4.3,0.0,0.0,0.0,4.3
2020-08-07,2.5,0.0,0.0,0.0,2.5
2020-08-08,1.8,0.0,0.0,0.0,1.8
2020-08-09,2.5,0.0,0.0,0.0,2.5
2020-08-10,3.3,0.0,0.0,0.0,3.3
2020-08-11,5.8,0.0,0.0,0.0,5.8
2020-08-12,5.0,0.0,0.0,0.0,5.0
2020-08-13,3.0,0.0,0.0,0.0,3.0
2020-08-14,1.5,0.0,0.0,0.0,1.5
2020-08-15,1.0,0.0,0.0,0.0,1.0
2020-08-16,1.5,0.0,0.0,0.0,1.5
2020-08-17,5.5,0.0,0.0,0.0,5.5
2020-08-18,11.5,0.0,0.0,0.0,11.5
2020-08-19,4.5,0.0,0.0,0.0,4.5
2020-08-20,3.0,0.0,0.0,0.0,3.0
2020-08-21,2.0,0.0,0.0,0.0,2.0
2020-08-22,1.0,0.0,0.0,0.0,1.0
2020-08-23,3.0,0.0,0.0,0.0,3.0
2020-08-24,1.5,0.0,0.0,0.0,1.5
2020-08-25,5.5,0.0,0.0,0.0,5.5
2020-08-26,1.5,0.0,0.0,0.0,1.5
2020-08-27,10.5,0.0,0.0,0.0,10.5
2020-08-28,3.5,0.0,0.0,0.0,3.5
2020-08-29,1.0,0.0,0.0,0.0,1.0
2020-08-30,0.0,0.0,0.0,0.0,0.0
2020-08-31,4.0,0.0,0.0,0.0,4.0
2020-09-01,5.5,0.0,0.0,0.0,5.5
2020-09-02,3.5,0.0,0.0,0.0,3.5
2020-09-03,0.0,0.0,0.0,0.0,0.0
2020-09-04,2.0,0.0,0.0,0.0,2.0
2020-09-05,0.0,0.0,0.0,0.0,0.0
2020-09-06,0.0,0.0,0.0,0.0,0.0
2020-09-07,1.0,0.0,0.0,0.0,1.0
2020-09-08,6.0,0.0,0.0,0.0,6.0
2020-09-09,6.0,0.0,0.0,0.0,6.0
2020-09-10,5.0,0.0,0.0,0.0,5.0
2020-09-11,3.5,0.0,0.0,0.0,3.5
2020-09-12,0.0,0.0,0.0,0.0,0.0
2020-09-13,0.0,0.0,0.0,0.0,0.0
2020-09-14,2.0,0.0,0.0,0.0,2.0
2020-09-15,1.5,0.0,0.0,0.0,1.5
2020-09-16,2.0,0.0,0.0,0.0,2.0
2020-09-17,2.0,0.0,0.0,0.0,2.0
2020-09-18,6.5,0.0,0.0,0.0,6.5
2020-09-19,0.0,0.0,0.0,0.0,0.0
2020-09-20,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-22,1.5,0.0,0.0,0.0,1.5
2020-09-23,1.5,0.0,0.0,0.0,1.5
2020-09-24,2.5,0.0,0.0,0.0,2.5
2020-09-25,0.0,0.0,0.0,0.0,0.0
2020-09-26,0.0,0.0,0.0,0.0,0.0
2020-09-27,0.0,0.0,0.0,0.0,0.0
2020-09-28,4.0,0.0,0.0,0.0,4.0
2020-09-29,3.0,0.0,0.0,0.0,3.0
2020-09-30,4.0,0.0,0.0,0.0,4.0
2020-10-01,5.5,0.0,0.0,0.0,5.5
2020-10-02,6.0,0.0,0.0,0.0,6.0
2020-10-03,0.0,0.0,0.0,0.0,0.0
2020-10-04,1.0,0.0,0.0,0.0,1.0
2020-10-05,5.0,0.0,0.0,0.0,5.0
2020-10-06,3.5,0.0,0.0,0.0,3.5
2020-10-07,4.5,0.0,0.0,0.0,4.5
2020-10-08,0.5,0.0,0.0,0.0,0.5
2020-10-09,0.0,0.0,0.0,0.0,0.0
2020-10-10,0.0,0.0,0.0,0.0,0.0
2020-10-11,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-13,4.5,0.0,0.0,0.0,4.5
2020-10-14,4.0,0.0,0.0,0.0,4.0
2020-10-15,3.0,0.0,0.0,0.0,3.0
2020-10-16,3.0,0.0,0.0,0.0,3.0
2020-10-17,0.0,0.0,0.0,0.0,0.0
2020-10-18,1.0,0.0,0.0,0.0,1.0
2020-10-19,6.0,0.0,0.0,0.0,6.0
2020-10-20,2.5,0.0,0.0,0.0,2.5
2020-10-21,3.5,0.0,0.0,0.0,3.5
2020-10-22,4.0,0.0,0.0,0.0,4.0
2020-10-23,2.0,0.0,0.0,0.0,2.0
2020-10-24,0.0,0.0,0.0,0.0,0.0
2020-10-25,2.0,0.0,0.0,0.0,2.0
2020-10-26,3.0,0.0,0.0,0.0,3.0
2020-10-27,5.0,0.0,0.0,0.0,5.0
2020-10-28,2.0,0.0,0.0,0.0,2.0
2020-10-29,5.5,0.0,0.0,0.0,5.5
2020-10-30,1.0,0.0,0.0,0.0,1.0
2020-10-31,1.5,0.0,0.0,0.0,1.5
2020-11-01,2.0,0.0,0.0,0.0,2.0
2020-11-02,6.5,0.0,0.0,0.0,6.5
2020-11-03,5.0,0.0,0.0,0.0,5.0
2020-11-04,1.5,0.0,0.0,0.0,1.5
2020-11-05,5.5,0.0,0.0,0.0,5.5
2020-11-06,4.5,0.0,0.0,0.0,4.5
2020-11-07,0.5,0.0,0.0,0.0,0.5
2020-11-08,1.5,0.0,0.0,0.0,1.5
2020-11-09,6.5,0.0,0.0,0.0,6.5
2020-11-10,3.0,0.0,0.0,0.0,3.0
2020-11-11,1.0,0.0,0.0,0.0,1.0
2020-11-12,5.5,0.0,0.0,0.0,5.5
2020-11-13,2.5,0.0,0.0,0.0,2.5
2020-11-14,2.5,0.0,0.0,0.0,2.5
2020-11-15,3.5,0.0,0.0,0.0,3.5
2020-11-16,8.0,0.0,0.0,0.0,8.0
2020-11-17,5.5,0.0,0.0,0.0,5.5
2020-11-18,3.5,0.0,0.0,0.0,3.5
2020-11-19,3.5,0.0,0.0,0.0,3.5
2020-11-20,2.0,0.0,0.0,0.0,2.0
2020-11-21,2.0,0.0,0.0,0.0,2.0
2020-11-22,1.0,0.0,0.0,0.0,1.0
2020-11-23,4.5,0.0,0.0,0.0,4.5
2020-11-24,6.5,0.0,0.0,0.0,6.5
2020-11-25,1.0,0.0,0.0,0.0,1.0
2020-11-26,4.5,0.0,0.0,0.0,4.5
2020-11-27,4.0,0.0,0.0,0.0,4.0
2020-11-28,0.5,0.0,0.0,0.0,0.5
2020-11-29,0.5,0.0,0.0,0.0,0.5
2020-11-30,4.0,0.0,0.0,0.0,4.0
2020-12-01,4.5,0.0,0.0,0.0,4.5
2020-12-02,4.0,0.0,0.0,0.0,4.0
2020-12-03,6.5,0.0,0.0,0.0,6.5
2020-12-04,2.0,0.0,0.0,0.0,2.0
2020-12-05,0.0,0.0,0.0,0.0,0.0
2020-12-06,1.0,0.0,0.0,0.0,1.0
2020-12-07,4.5,1.5,0.0,0.5,6.5
2020-12-08,3.0,0.0,0.0,0.0,3.0
2020-12-09,3.0,3.0,0.0,0.0,6.0
2020-12-10,4.5,5.0,0.0,0.0,9.5
2020-12-11,5.5,0.0,0.0,0.0,5.5
